05/18/2019 01:00:03 [SCRIPT] REWIND | veritas | Backup-Shares.3.0.ps1 \\mirage\Scripts\Servers\Backup\jobs\Middle-Site-Servers.01.csv -Full True -Test False
05/18/2019 01:00:03 [SCRIPT] REWIND | veritas | Backup-Shares.3.0.ps1 \\mirage\Scripts\Servers\Backup\jobs\Primary-Site-Servers.01.csv -Full True -Test False
05/18/2019 01:00:03 [SCRIPT] REWIND | veritas | Backup-Shares.3.0.ps1 \\mirage\Scripts\Servers\Backup\jobs\High-Site-Servers.02.csv -Full True -Test False
05/18/2019 01:00:04 [INFO] Src:\\PIONEER\data | Dst:\\10.189.19.123\Utility\Full\PIONEER\data | Options:/E /M
05/18/2019 01:00:04 [INFO] Src:\\ch-pounce\Data | Dst:\\10.189.19.123\Utility\Full\ch-pounce\Data | Options:/E /M
05/18/2019 01:00:39 [INFO] Src:\\ch-pounce\Datas | Dst:\\10.189.19.123\Utility\Full\ch-pounce\Datas | Options:/E /M
05/18/2019 01:00:41 [INFO] Src:\\ci-bobcat\Data | Dst:\\10.189.19.123\Utility\Full\ci-bobcat\Data | Options:/E /M
05/18/2019 01:00:46 [INFO] Src:\\ci-bobcat\Datas | Dst:\\10.189.19.123\Utility\Full\ci-bobcat\Datas | Options:/E /M
05/18/2019 01:03:15 [INFO] Src:\\ho-hook\Data | Dst:\\10.189.19.123\Utility\Full\ho-hook\Data | Options:/E /M
05/18/2019 01:06:46 [INFO] Src:\\ho-hook\Datas | Dst:\\10.189.19.123\Utility\Full\ho-hook\Datas | Options:/E /M
05/18/2019 01:07:32 [INFO] Src:\\PIONEER\datas | Dst:\\10.189.19.123\Utility\Full\PIONEER\datas | Options:/E /M
05/18/2019 01:08:41 [INFO] Src:\\jm-wildrider\Data | Dst:\\10.189.19.123\Utility\Full\jm-wildrider\Data | Options:/E /M
05/18/2019 01:16:41 [INFO] Src:\\PIONEER\user | Dst:\\10.189.19.123\Utility\Full\PIONEER\user | Options:/E /M
05/18/2019 01:22:11 [INFO] Src:\\jm-wildrider\Datas | Dst:\\10.189.19.123\Utility\Full\jm-wildrider\Datas | Options:/E /M
05/18/2019 01:30:58 [INFO] Src:\\ma-skyfire\Data | Dst:\\10.189.19.123\Utility\Full\ma-skyfire\Data | Options:/E /M
05/18/2019 01:31:19 [INFO] Src:\\ma-skyfire\Datas | Dst:\\10.189.19.123\Utility\Full\ma-skyfire\Datas | Options:/E /M
05/18/2019 01:31:36 [INFO] Src:\\nd-snapdragon\Data | Dst:\\10.189.19.123\Utility\Full\nd-snapdragon\Data | Options:/E /M
05/18/2019 01:32:58 [INFO] Src:\\nd-snapdragon\Datas | Dst:\\10.189.19.123\Utility\Full\nd-snapdragon\Datas | Options:/E /M
05/18/2019 01:33:53 [INFO] Src:\\lc-cheetah\Data | Dst:\\10.189.19.123\Utility\Full\lc-cheetah\Data | Options:/E /M
05/18/2019 01:34:02 [INFO] Src:\\lc-cheetah\DataS | Dst:\\10.189.19.123\Utility\Full\lc-cheetah\DataS | Options:/E /M
05/18/2019 01:39:01 [INFO] Src:\\parkview-as\Data | Dst:\\10.189.19.123\Utility\Full\parkview-as\Data | Options:/E /M
05/18/2019 01:41:41 [INFO] Src:\\parkview-as\DataS | Dst:\\10.189.19.123\Utility\Full\parkview-as\DataS | Options:/E /M
05/18/2019 01:45:53 [INFO] Src:\\ew-ramhorn\Data | Dst:\\10.189.19.123\Utility\Full\ew-ramhorn\Data | Options:/E /M
05/18/2019 01:56:15 [INFO] Src:\\ew-ramhorn\DataS | Dst:\\10.189.19.123\Utility\Full\ew-ramhorn\DataS | Options:/E /M
05/18/2019 01:58:45 [INFO] Src:\\ro-raccoon\Data | Dst:\\10.189.19.123\Utility\Full\ro-raccoon\Data | Options:/E /M
05/18/2019 01:59:24 [INFO] Src:\\ro-raccoon\Datas | Dst:\\10.189.19.123\Utility\Full\ro-raccoon\Datas | Options:/E /M
05/18/2019 02:00:24 [INFO] Src:\\sh-searchlight\Data | Dst:\\10.189.19.123\Utility\Full\sh-searchlight\Data | Options:/E /M
05/18/2019 02:02:17 [INFO] Src:\\PUMA\data | Dst:\\10.189.19.123\Utility\Full\PUMA\data | Options:/E /M
05/18/2019 02:03:57 [INFO] Src:\\sh-searchlight\Datas | Dst:\\10.189.19.123\Utility\Full\sh-searchlight\Datas | Options:/E /M
05/18/2019 02:09:12 [INFO] Src:\\sv-sam\data | Dst:\\10.189.19.123\Utility\Full\sv-sam\data | Options:/E /M
05/18/2019 02:09:53 [INFO] Src:\\PUMA\datas | Dst:\\10.189.19.123\Utility\Full\PUMA\datas | Options:/E /M
05/18/2019 02:12:49 [INFO] Src:\\PUMA\user | Dst:\\10.189.19.123\Utility\Full\PUMA\user | Options:/E /M
05/18/2019 02:19:07 [INFO] Src:\\sv-sam\datas | Dst:\\10.189.19.123\Utility\Full\sv-sam\datas | Options:/E /M
05/18/2019 02:22:07 [INFO] No Powershell errors reported.
05/18/2019 02:55:09 [INFO] Src:\\WALLY\data | Dst:\\10.189.19.123\Utility\Full\WALLY\data | Options:/E /M
05/18/2019 02:56:18 [INFO] Src:\\WALLY\datas | Dst:\\10.189.19.123\Utility\Full\WALLY\datas | Options:/E /M
05/18/2019 02:57:09 [INFO] Src:\\WALLY\user | Dst:\\10.189.19.123\Utility\Full\WALLY\user | Options:/E /M
05/18/2019 03:25:47 [INFO] No Powershell errors reported.
05/18/2019 08:48:57 [ERROR] The process cannot access the file '\\mirage\Scripts\Servers\Backup\logs\REWIND\Backup-Shares.3.0.ps1-Full-2019-5-18.log' because it is being used by another process.
05/18/2019 17:00:03 [SCRIPT] REWIND | veritas | Backup-Shares.3.0.ps1 \\mirage\Scripts\Servers\Backup\jobs\Gears.csv -Full True -Test False
05/18/2019 17:00:04 [INFO] Src:\\GEARS\User | Dst:\\10.189.19.123\Utility\Full\GEARS\User | Options:/E /M
05/18/2019 18:26:42 [INFO] Src:\\GEARS\Datas | Dst:\\10.189.19.123\Utility\Full\GEARS\Datas | Options:/E /M
05/18/2019 18:38:51 [INFO] Src:\\GEARS\Data | Dst:\\10.189.19.123\Utility\Full\GEARS\Data | Options:/E /M
05/18/2019 18:46:00 [INFO] No Powershell errors reported.
