05/25/2019 01:29:41 [INFO] Src:\\nd-snapdragon\Data | Dst:\\10.189.19.123\Utility\Full\nd-snapdragon\Data | Options:/E /M
05/25/2019 01:31:23 [INFO] Src:\\nd-snapdragon\Datas | Dst:\\10.189.19.123\Utility\Full\nd-snapdragon\Datas | Options:/E /M
05/25/2019 01:32:36 [INFO] Src:\\lc-cheetah\Data | Dst:\\10.189.19.123\Utility\Full\lc-cheetah\Data | Options:/E /M
05/25/2019 01:32:44 [INFO] Src:\\lc-cheetah\DataS | Dst:\\10.189.19.123\Utility\Full\lc-cheetah\DataS | Options:/E /M
05/25/2019 01:37:19 [INFO] Src:\\parkview-as\Data | Dst:\\10.189.19.123\Utility\Full\parkview-as\Data | Options:/E /M
05/25/2019 01:39:23 [INFO] Src:\\parkview-as\DataS | Dst:\\10.189.19.123\Utility\Full\parkview-as\DataS | Options:/E /M
05/25/2019 01:43:15 [INFO] Src:\\ew-ramhorn\Data | Dst:\\10.189.19.123\Utility\Full\ew-ramhorn\Data | Options:/E /M
05/25/2019 01:49:11 [INFO] Src:\\PUMA\data | Dst:\\10.189.19.123\Utility\Full\PUMA\data | Options:/E /M
05/25/2019 01:51:33 [INFO] Src:\\PUMA\datas | Dst:\\10.189.19.123\Utility\Full\PUMA\datas | Options:/E /M
05/25/2019 01:51:37 [INFO] Src:\\ew-ramhorn\DataS | Dst:\\10.189.19.123\Utility\Full\ew-ramhorn\DataS | Options:/E /M
05/25/2019 01:51:59 [INFO] Src:\\PUMA\user | Dst:\\10.189.19.123\Utility\Full\PUMA\user | Options:/E /M
05/25/2019 01:52:40 [INFO] Src:\\ro-raccoon\Data | Dst:\\10.189.19.123\Utility\Full\ro-raccoon\Data | Options:/E /M
05/25/2019 01:52:54 [INFO] Src:\\ro-raccoon\Datas | Dst:\\10.189.19.123\Utility\Full\ro-raccoon\Datas | Options:/E /M
05/25/2019 01:53:15 [INFO] Src:\\sh-searchlight\Data | Dst:\\10.189.19.123\Utility\Full\sh-searchlight\Data | Options:/E /M
05/25/2019 01:54:20 [INFO] Src:\\sh-searchlight\Datas | Dst:\\10.189.19.123\Utility\Full\sh-searchlight\Datas | Options:/E /M
05/25/2019 01:56:04 [INFO] Src:\\sv-sam\data | Dst:\\10.189.19.123\Utility\Full\sv-sam\data | Options:/E /M
05/25/2019 01:59:21 [INFO] Src:\\sv-sam\datas | Dst:\\10.189.19.123\Utility\Full\sv-sam\datas | Options:/E /M
05/25/2019 02:01:28 [INFO] No Powershell errors reported.
05/25/2019 02:26:25 [INFO] Src:\\WALLY\data | Dst:\\10.189.19.123\Utility\Full\WALLY\data | Options:/E /M
05/25/2019 02:27:21 [INFO] Src:\\WALLY\datas | Dst:\\10.189.19.123\Utility\Full\WALLY\datas | Options:/E /M
05/25/2019 02:27:47 [INFO] Src:\\WALLY\user | Dst:\\10.189.19.123\Utility\Full\WALLY\user | Options:/E /M
05/25/2019 02:48:56 [INFO] No Powershell errors reported.
05/25/2019 03:08:38 [INFO] No Powershell errors reported.
05/25/2019 17:00:03 [SCRIPT] REWIND | veritas | Backup-Shares.3.0.ps1 \\mirage\Scripts\Servers\Backup\jobs\Gears.csv -Full True -Test False
05/25/2019 17:00:05 [INFO] Src:\\GEARS\User | Dst:\\10.189.19.123\Utility\Full\GEARS\User | Options:/E /M
05/25/2019 18:25:32 [INFO] Src:\\GEARS\Datas | Dst:\\10.189.19.123\Utility\Full\GEARS\Datas | Options:/E /M
05/25/2019 18:38:14 [INFO] Src:\\GEARS\Data | Dst:\\10.189.19.123\Utility\Full\GEARS\Data | Options:/E /M
05/25/2019 18:44:45 [INFO] No Powershell errors reported.
