srcServer|srcShare|dstServer|dstShare|excludeDirs|excludeFiles
INSPIRE-SERVER1|User|dr-sitebackup|IC||*.mp4,*.avi,*.MTS,*.MPEG,*.MOV
INSPIRE-SERVER1|Data|dr-sitebackup|IC||*.mp4,*.avi,*.MTS,*.MPEG,*.MOV
INSPIRE-SERVER1|DataS|dr-sitebackup|IC||*.mp4,*.avi,*.MTS,*.MPEG,*.MOV
GEARS|User|dr-sitebackup|CSSTAFF||*.mp4,*.avi,*.MTS,*.MPEG,*.MOV
GEARS|Data|dr-sitebackup|CSSTAFF||*.mp4,*.avi,*.MTS,*.MPEG,*.MOV
GEARS|DataS|dr-sitebackup|CSSTUD||*.mp4,*.avi,*.MTS,*.MPEG,*.MOV
SEASPRAY|User|dr-sitebackup|PVSTAFF||*.mp4,*.avi,*.MTS,*.MPEG,*.MOV
SEASPRAY|Data|dr-sitebackup|PVSTAFF||*.mp4,*.avi,*.MTS,*.MPEG,*.MOV
SEASPRAY|DataS|dr-sitebackup|PVSTUD||*.mp4,*.avi,*.MTS,*.MPEG,*.MOV
